sky,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cloud,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
meadow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
person,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
village,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
blurring,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sunspots,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
harmony,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
longing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Montserrat (mountain),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
musical instrument,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
musician (male),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
standing woman (standing people),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
seated man,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
figure seen from the back,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
man dancing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
woman dancing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dancing couple,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"peasant, farmer (male)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"peasant, farmer (female)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Inn, tavern",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
straw roof,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
full beard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
old man,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
coat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
blouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
skirt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
close-fitting cap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gesture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hand gesture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wooden door,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"chimney, fireplace",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pitcher,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
smile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
facial expression,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
body of water,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
